run,relative_s,error_m
max/run01,30.683701181411635,1.3269518724942022
max/run01,30.78370118141163,1.3106176080907195
max/run01,30.88370118141163,1.309954121703663
max/run01,30.983701181411632,1.321713163655536
max/run01,31.083701181411634,1.369748003978715
max/run01,31.183701181411628,1.3700106743046523
max/run01,31.28370118141163,1.3620595373194566
max/run01,31.583701181411627,1.383659748347557
max/run01,31.683701181411628,1.384926254375356
max/run01,31.78370118141163,1.399711431401897
max/run01,31.88370118141163,1.4032003248605698
max/run01,32.28370118141163,1.418048414266153
max/run01,32.383701181411624,1.4478102534830375
max/run01,32.483701181411625,1.4320422112185784
max/run01,32.58370118141163,1.4277097208429743
max/run01,32.68370118141162,1.4405955203723733
max/run01,32.78370118141162,1.398743323271348
max/run01,32.883701181411624,1.3781615830455403
max/run01,33.08370118141163,1.407790317824227
max/run01,33.18370118141162,1.407593808444408
max/run01,33.28370118141162,1.4125451693373265
max/run01,33.383701181411624,1.3957735387358732
max/run01,33.78370118141162,1.3447675572173585
max/run01,33.883701181411624,1.3850564109737982
max/run01,33.98370118141162,1.422180424535367
max/run01,34.283701181411615,1.4616264113601862
max/run01,34.38370118141162,1.447256955060453
max/run01,34.48370118141162,1.4137953970352068
max/run01,34.58370118141162,1.4181906006033462
max/run01,34.68370118141162,1.4185787147324562
max/run01,34.783701181411615,1.4188866504612918
max/run01,34.88370118141162,1.4201273420460068
max/run01,34.98370118141162,1.457889839720867
max/run01,35.08370118141161,1.444755389278157
max/run01,35.183701181411614,1.4248267032865545
max/run01,35.283701181411615,1.437057714407038
max/run01,35.38370118141162,1.43906905888501
max/run01,35.48370118141162,1.424460764045587
max/run01,35.58370118141161,1.4193556460970214
max/run01,35.683701181411614,1.4140394124954083
max/run01,35.783701181411615,1.4258917910662094
max/run01,35.88370118141161,1.4258975663764486
max/run01,35.98370118141161,1.4200949406467016
max/run01,36.08370118141161,1.3983753289253296
max/run01,36.183701181411614,1.4478740216604475
max/run01,36.283701181411615,1.4209486365653679
max/run01,36.38370118141161,1.4078305473672748
max/run01,36.48370118141161,1.408767865685533
max/run01,36.58370118141161,1.3944707041143196
max/run01,36.68370118141161,1.3981090488663481
max/run01,36.78370118141161,1.4212228352484826
max/run01,36.88370118141161,1.4213321025796046
max/run01,37.18370118141161,1.3711068436647522
max/run01,37.28370118141161,1.3459098605496116
max/run01,37.38370118141161,1.3742483867823545
max/run01,37.483701181411604,1.3688203335251765
max/run01,37.583701181411605,1.3720941081671885
max/run01,37.68370118141161,1.4093075794613952
max/run01,37.78370118141161,1.4106776945724218
max/run01,37.88370118141161,1.396424953472625
max/run01,37.983701181411604,1.4001603519622543
max/run01,38.083701181411605,1.4210039437980202
max/run01,38.18370118141161,1.4098464958333508
max/run01,38.2837011814116,1.3828372162239495
max/run01,38.3837011814116,1.4056356426311614
max/run01,38.483701181411604,1.3864304065043882
max/run01,38.583701181411605,1.3674194749071344
max/run01,38.68370118141161,1.421388295195213
max/run01,38.7837011814116,1.4530057159486616
max/run01,38.8837011814116,1.4098585630703475
max/run01,38.983701181411604,1.397041672374552
max/run01,39.2837011814116,1.348981662744404
max/run01,39.3837011814116,1.3664595515708793
max/run01,39.483701181411604,1.3372176470826416
max/run01,39.5837011814116,1.3219145050681642
max/run01,39.6837011814116,1.3346570985122963
max/run01,39.7837011814116,1.310101654360921
max/run01,39.883701181411595,1.2950285313354608
max/run01,39.9837011814116,1.2958794463647405
