run,start_s,rows,gt_common_samples,error_median,residual_median,transient_frames,effective_min,novel_accepted,invalid_rejected,added,speed_max,angular_speed_max,csv_gap_max
run02,400,9,8,17.87341671867677,0.048121451,0,925,0,0,769,0.06771251585894517,0.003761524816933057,0.19999384880065918
run03,300,9,0,,0.0606477,0,915,0,0,2074,0.258659457763056,0.32090545488106925,0.2001957893371582
run03,301,10,0,,0.060589569499999996,0,946,0,0,1986,0.1873540951329064,0.05599123816714927,0.10021591186523438
run03,302,10,4,0.10604388099471926,0.061620169,0,962,0,0,2230,0.36901642674748547,0.061357809853677996,0.10013246536254883
run03,303,10,10,0.11390111947816878,0.060385868999999995,0,933,0,0,2132,0.25951693392960784,0.0662736282816964,0.10002708435058594
run03,304,9,9,0.17083296907703543,0.058374806,0,948,0,0,1714,0.24644022550503838,0.05558012458133845,0.20007944107055664
run03,305,8,8,0.11284127996512279,0.0600415445,0,939,0,0,1541,0.30786802796404517,0.06985248496440147,0.2000415325164795
run03,306,9,9,0.07967181391717919,0.061007877,0,915,0,0,1496,0.18465494891588763,0.04139914497524265,0.19988536834716797
run03,307,10,9,0.12434144015461253,0.060543589999999994,0,887,0,0,1611,0.16126705309428194,0.03228967121059156,0.10019612312316895
run03,308,9,6,0.09701590546107977,0.059419729,0,901,0,0,1654,0.14968611850602426,0.03677935017524011,0.20000863075256348
run03,309,10,8,0.13427687712770758,0.0587765065,0,883,0,0,1735,0.24115890557612174,0.06225241948339003,0.10025930404663086
run03,310,10,10,0.14299551774973485,0.057703562,0,931,0,0,1691,0.17641094285656148,0.032757367358614085,0.10012960433959961
run03,311,9,9,0.12046551584555,0.061517221,0,924,0,0,1495,0.18269732214525053,0.031342283449775854,0.10013937950134277
run03,312,10,9,0.1341096584583973,0.059129075,0,919,0,0,1667,0.21898210674075938,0.02544042092910414,0.1999342441558838
run03,313,10,9,0.13355639758317173,0.058849442,0,919,0,0,1669,0.1629530648066122,0.040701379453041975,0.10007953643798828
run03,314,9,9,0.1442048738799327,0.056575121,0,904,0,0,1256,0.2495627963945566,0.06951448380438892,0.1999187469482422
run03,315,10,9,0.10752368723573993,0.0577685015,0,927,0,0,1520,0.15720896942572346,0.026204791269501638,0.1000969409942627
